Page,Rank
189629,0.2153846153846154
315307,0.2153846153846154
315936,0.2153846153846154
327325,0.2153846153846154
427890,0.2153846153846154
427992,0.2153846153846154
433586,0.2153846153846154
450228,0.2153846153846154
461746,0.2153846153846154
482280,0.2153846153846154
478401,0.2153846153846154
50111,0.2153846153846154
50112,0.2153846153846154
50271,0.2153846153846154
530402,0.2153846153846154
590517,0.2153846153846154
642625,0.2153846153846154
657452,0.2153846153846154
658624,0.2153846153846154
667462,0.2153846153846154
667487,0.2153846153846154
670721,0.2153846153846154
120988,0.2153846153846154
121008,0.2153846153846154
127667,0.2153846153846154
162204,0.2153846153846154
255645,0.2153846153846154
271350,0.2153846153846154
334255,0.2153846153846154
333504,0.2153846153846154
365265,0.2153846153846154
380212,0.2153846153846154
402449,0.2153846153846154
404461,0.2153846153846154
405910,0.2153846153846154
445792,0.2153846153846154
458972,0.2153846153846154
458980,0.2153846153846154
480628,0.2153846153846154
501991,0.2153846153846154
569836,0.2153846153846154
602002,0.2153846153846154
609435,0.2153846153846154
62846,0.2153846153846154
653373,0.2153846153846154
654435,0.2153846153846154
658577,0.2153846153846154
102699,0.2153846153846154
315347,0.2153846153846154
315349,0.2153846153846154
317984,0.2153846153846154
335135,0.2153846153846154
327510,0.2153846153846154
333912,0.2153846153846154
480213,0.2153846153846154
521822,0.2153846153846154
559135,0.2153846153846154
618122,0.2153846153846154
618129,0.2153846153846154
647951,0.2153846153846154
650490,0.2153846153846154
657359,0.2153846153846154
656856,0.2153846153846154
326742,0.2153846153846154
334860,0.2153846153846154
334866,0.2153846153846154
335251,0.2153846153846154
333362,0.2153846153846154
459439,0.2153846153846154
462269,0.2153846153846154
480643,0.2153846153846154
478816,0.2153846153846154
503250,0.2153846153846154
501397,0.2153846153846154
502962,0.2153846153846154
503158,0.2153846153846154
107460,0.2153846153846154
164862,0.2153846153846154
195788,0.2153846153846154
329865,0.2153846153846154
387999,0.2153846153846154
423833,0.2153846153846154
480630,0.2153846153846154
480205,0.2153846153846154
495438,0.2153846153846154
570394,0.2153846153846154
590832,0.2153846153846154
630606,0.2153846153846154
638808,0.2153846153846154
678691,0.2153846153846154
678715,0.2153846153846154
123917,0.2153846153846154
317317,0.2153846153846154
320745,0.2153846153846154
326844,0.2153846153846154
333770,0.2153846153846154
333771,0.2153846153846154
